#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:323193-324386|+   -            398 18543                -            519   2.4e-30  102.8   0.5   1   2   6.4e-32   2.4e-30  102.8   0.5    11   223    32   245    21   282 0.85 contig_1_pilon_278 # 323193 # 324386 # 1 # ID=1_278;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.414
contig_1_pilon:323193-324386|+   -            398 18543                -            519   2.4e-30  102.8   0.5   2   2       7.1   2.7e+02   -2.9   0.1   446   485   335   378   296   383 0.70 contig_1_pilon_278 # 323193 # 324386 # 1 # ID=1_278;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.414
contig_1_pilon:11820-12737|+     -            306 18543                -            519   1.3e-29  100.4   2.2   1   1   7.9e-31     3e-29   99.2   2.2     4   230     6   221     3   283 0.86 contig_1_pilon_15 # 11820 # 12737 # 1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.417
contig_1_pilon:293323-294255|+   -            311 18543                -            519   1.9e-29   99.9   0.5   1   1   6.3e-31   2.4e-29   99.5   0.5     6   223     2   214     1   229 0.93 contig_1_pilon_247 # 293323 # 294255 # 1 # ID=1_247;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
contig_1_pilon:17520-18455|+     -            312 18543                -            519   3.5e-29   99.0   0.1   1   1   1.1e-30   4.4e-29   98.7   0.1     6   231     4   225     1   235 0.90 contig_1_pilon_21 # 17520 # 18455 # 1 # ID=1_21;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
contig_2_pilon:809941-810708|+   -            256 18543                -            519   9.8e-29   97.5   0.5   1   1   2.9e-30   1.1e-28   97.3   0.5     5   216     3   218     1   240 0.84 contig_2_pilon_756 # 809941 # 810708 # 1 # ID=5_756;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_2_pilon:516507-517208|+   -            234 18543                -            519     4e-28   95.5   0.2   1   1     2e-28   7.6e-27   91.3   0.2    17   219    18   215     2   226 0.83 contig_2_pilon_486 # 516507 # 517208 # 1 # ID=5_486;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
contig_1_pilon:907744-908430|-   -            229 18543                -            519   3.1e-27   92.6   0.1   1   1   9.4e-29   3.6e-27   92.4   0.1     5   206     3   207     1   219 0.88 contig_1_pilon_858 # 907744 # 908430 # -1 # ID=1_858;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
contig_2_pilon:48295-49710|-     -            472 18543                -            519   8.9e-27   91.1   6.2   1   2   8.4e-15   3.2e-13   46.3   0.2    21   226    18   224     1   238 0.79 contig_2_pilon_43 # 48295 # 49710 # -1 # ID=5_43;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
contig_2_pilon:48295-49710|-     -            472 18543                -            519   8.9e-27   91.1   6.2   2   2   4.8e-15   1.8e-13   47.1   1.3    23   219   270   447   254   465 0.84 contig_2_pilon_43 # 48295 # 49710 # -1 # ID=5_43;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
