#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1317707-1318351|+ -            215 28730                -            213  6.5e-116  382.9   0.1   1   1  2.3e-118  7.3e-116  382.7   0.1     1   212     1   212     1   213 0.99 tig00000001_1238 # 1317707 # 1318351 # 1 # ID=1_1238;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.420
tig00000001:1206070-1206771|+ -            234 28730                -            213    0.0038   14.4   0.3   2   2   0.00028     0.089    9.9   0.1   127   163   122   157   105   210 0.82 tig00000001_1134 # 1206070 # 1206771 # 1 # ID=1_1134;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001:1326504-1327271|+ -            256 28730                -            213    0.0045   14.1   0.1   1   2   4.1e-05     0.013   12.7   0.1     2    24    33    55    32    78 0.85 tig00000001_1247 # 1326504 # 1327271 # 1 # ID=1_1247;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001:1326504-1327271|+ -            256 28730                -            213    0.0045   14.1   0.1   2   2       2.4   7.7e+02   -3.0   0.0    17    40   181   204   161   215 0.51 tig00000001_1247 # 1326504 # 1327271 # 1 # ID=1_1247;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001:2407557-2408327|- -            257 28730                -            213    0.0091   13.1   0.0   1   1   4.5e-05     0.014   12.5   0.0     2    30    34    62    33   115 0.86 tig00000001_2336 # 2407557 # 2408327 # -1 # ID=1_2336;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001:603282-604088|+   -            269 28730                -            213     0.013   12.6   0.0   1   1   6.9e-05     0.022   11.9   0.0     3    42    35    74    33   106 0.80 tig00000001_561 # 603282 # 604088 # 1 # ID=1_561;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
tig00000001:1619239-1620999|+ -            587 28730                -            213     0.015   12.5   0.4   1   2    0.0011      0.36    7.9   0.1     3    25   371   393   369   409 0.85 tig00000001_1548 # 1619239 # 1620999 # 1 # ID=1_1548;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001:1619239-1620999|+ -            587 28730                -            213     0.015   12.5   0.4   2   2      0.06        19    2.3   0.0    52    76   502   526   492   539 0.88 tig00000001_1548 # 1619239 # 1620999 # 1 # ID=1_1548;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/28730at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:39:06 2026
# [ok]
