#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_27_length_28698_cov_57.404326:28039-28563|+   -            175 23784                -            172   4.4e-76  251.6   0.5   1   1   1.6e-78   5.1e-76  251.4   0.5     2   172     3   173     2   173 0.99 NODE_27_length_28698_cov_57.404326_30 # 28039 # 28563 # 1 # ID=27_30;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
NODE_11_length_113754_cov_100.754285:15371-15859|- -            163 23784                -            172    0.0046   13.9   0.3   2   2   2.7e-05    0.0082   13.1   0.1   120   150   111   141    86   159 0.75 NODE_11_length_113754_cov_100.754285_13 # 15371 # 15859 # -1 # ID=11_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.358
NODE_6_length_183174_cov_88.861183:34981-35415|-   -            145 23784                -            172     0.021   11.8   0.0   1   1   8.3e-05     0.026   11.5   0.0    93   150    68   123    27   135 0.84 NODE_6_length_183174_cov_88.861183_38 # 34981 # 35415 # -1 # ID=6_38;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.361
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23784at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/23784at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23784at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:35:37 2026
# [ok]
